@relation output

@attribute 'status pozyczki' {splacona_cz,odmowa,splacona,windykacja,windykacja_sp}
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {kobieta,mężczyzna}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,400,75,kobieta,13,1900,0,120,48,0
splacona,500,37,kobieta,11,2700,4,120,48,0
splacona,500,32,kobieta,11,3100,4,120,48,0
splacona_cz,500,49,kobieta,11,1800,4,52,48,1
splacona_cz,200,47,kobieta,11,1493.98,3,360,48,0
splacona_cz,200,51,kobieta,11,932.34,4,394,48,0
splacona_cz,600,43,kobieta,11,1443,4,33,48,0
odmowa,500,50,mężczyzna,11,6125.99,0,381,48,0
splacona_cz,300,26,kobieta,12,1300,3,7,12,2
splacona_cz,300,22,kobieta,12,1500,3,3,4,2
splacona_cz,492.01,35,kobieta,98,4000,4,18,48,10
splacona,400,53,kobieta,16,1362,4,28,48,0
splacona_cz,300,58,kobieta,13,1244.77,4,38,48,4
splacona_cz,700,58,kobieta,13,1872,4,34,48,2
splacona,200,63,kobieta,16,1340,0,160,48,0
splacona,300,67,mężczyzna,13,1573,0,88,48,1
odmowa,200,71,kobieta,13,1030.71,0,260,48,0
odmowa,500,48,mężczyzna,11,1052.34,0,53,48,0
odmowa,800,21,mężczyzna,98,1000,0,3,48,0
splacona,200,47,kobieta,98,2200,4,24,48,0
splacona,300,30,mężczyzna,12,1637,0,51,48,0
splacona_cz,395.77,63,kobieta,13,1668,4,90,48,0
splacona,201.4,60,kobieta,13,1107,2,14,48,9
splacona,200,39,kobieta,12,1048.27,0,2,19,13
splacona_cz,300,61,kobieta,13,2282,0,24,48,0
windykacja_sp,417,27,kobieta,11,1500,0,23,48,133
splacona_cz,300,57,kobieta,16,634.64,3,135,48,0
splacona_cz,500,24,mężczyzna,11,2327.94,0,34,48,0
splacona,575.74,32,mężczyzna,11,2050,4,117,48,10
splacona_cz,300,46,kobieta,98,911,4,97,48,1
splacona_cz,200,61,kobieta,13,992.96,0,11,48,0
odmowa,300,55,kobieta,12,700,0,20,23,0
splacona_cz,300,30,mężczyzna,11,1000,4,56,48,1
splacona_cz,200,70,kobieta,13,865,4,127,48,0
splacona_cz,300,54,mężczyzna,11,2100,1,37,48,2
splacona_cz,300,49,kobieta,11,992.84,4,120,48,0
splacona_cz,200,57,kobieta,99,780,0,0,3,0
splacona_cz,500,60,mężczyzna,11,2100,3,186,48,0
splacona,600,59,kobieta,13,1370,3,75,48,0
splacona_cz,371.45,61,mężczyzna,13,1500,4,22,48,1
splacona_cz,200,31,kobieta,12,980,4,9,10,4
splacona,600,54,kobieta,11,1300,1,67,48,19
splacona,500,36,kobieta,11,1700,3,196,48,69
splacona,1283.66,52,kobieta,11,1638,0,313,48,175
odmowa,400,62,mężczyzna,11,1000,0,101,48,0
splacona_cz,500,61,kobieta,13,1310,0,77,48,5
splacona_cz,200,50,mężczyzna,16,1045,3,198,48,3
splacona_cz,600,33,kobieta,12,1540,1,38,39,5
splacona_cz,200,57,kobieta,11,983.97,2,77,48,5
splacona_cz,300,46,kobieta,12,1038.68,0,20,26,0
splacona_cz,295.24,46,kobieta,12,1032,4,37,40,4
splacona_cz,300,44,mężczyzna,11,3300,0,236,48,0
odmowa,300,43,mężczyzna,12,977,0,0,3,0
odmowa,200,52,kobieta,16,848.27,0,173,48,0
splacona,400,67,kobieta,13,815,1,143,48,0
odmowa,200,77,kobieta,13,1255,0,180,48,0
splacona,246.99,52,kobieta,11,1400,4,160,48,0
splacona_cz,200,30,mężczyzna,12,1521,0,19,30,0
splacona_cz,400,34,kobieta,11,980.11,1,44,48,6
splacona,300,26,mężczyzna,12,1800,0,53,48,0
splacona_cz,500,50,kobieta,17,990,0,71,48,0
splacona,400,64,mężczyzna,11,2600,0,134,48,0
splacona_cz,200,55,mężczyzna,11,1460.17,1,60,48,11
splacona,450,68,mężczyzna,13,2000,4,44,48,12
windykacja_sp,500,66,mężczyzna,16,1151,0,360,48,311
splacona_cz,400,65,mężczyzna,16,1473.04,1,164,48,0
splacona,500,58,kobieta,13,720,1,231,48,101
odmowa,500,61,mężczyzna,16,1327.87,0,15,48,0
splacona_cz,200,53,kobieta,16,749.28,4,64,48,0
