@relation output-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L2-weka.filters.unsupervised.instance.RemoveWithValues-S900.0-C2-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {kobieta,mężczyzna}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
300,45,mężczyzna,11,2100,2,52,48,0
400,75,kobieta,13,1900,3,123,48,1
389.72,52,kobieta,98,3000,3,87,48,1
200,53,mężczyzna,11,2094.17,3,243,48,4
478.6,44,kobieta,11,2245.01,1,148,48,1
400,35,mężczyzna,11,1186,0,12,48,0
200,61,kobieta,13,744.07,0,15,48,0
339.72,68,mężczyzna,13,1162.41,1,106,48,0
300,64,kobieta,16,1132,3,99,48,4463
830,59,kobieta,13,1400,2,248,48,0
500,56,mężczyzna,13,1900,7,152,48,0
200,27,mężczyzna,17,728,7,102,48,1
330.1,63,kobieta,13,1668,7,93,48,1
389.72,35,mężczyzna,11,1058,2,16,48,0
500,60,mężczyzna,11,2100,6,189,48,0
500,56,mężczyzna,13,1553,0,111,48,1
200,57,mężczyzna,13,12220,5,73,48,0
500,49,mężczyzna,11,2500,1,376,48,0
200,53,kobieta,99,1100,4,54,48,0
500,49,kobieta,11,1800,7,55,48,2
400,23,mężczyzna,98,1200,0,18,48,11
515.96,58,kobieta,13,1801.41,2,40,48,0
200,70,kobieta,13,865,7,130,48,0
700,32,kobieta,11,3100,2,123,48,5
700,37,kobieta,11,3178.76,2,123,48,5
400,59,kobieta,13,1400,0,48,48,4
300,30,mężczyzna,12,3400,0,19,38,0
378.91,70,kobieta,13,1291.18,7,81,48,0
300,62,mężczyzna,13,2000,0,36,48,0
500,36,mężczyzna,11,3898,2,183,48,3
600,80,mężczyzna,13,2547,1,197,48,0
300,22,kobieta,12,1500,6,6,18,3
299.23,52,kobieta,11,1400,3,163,48,0
500,55,kobieta,12,1600,0,12,17,4
500,29,kobieta,12,1447,7,24,36,3
349.66,64,mężczyzna,13,1601.87,3,47,48,3
300,53,kobieta,16,1740,0,116,48,0
206,30,mężczyzna,12,1521,3,22,30,0
300,49,kobieta,11,992.84,7,123,48,0
300,79,kobieta,13,1167.94,2,371,48,0
200,54,kobieta,11,1400,7,119,48,2
300,46,mężczyzna,11,1360,3,122,48,0
700,58,kobieta,13,1872,7,37,48,5
527.15,73,kobieta,13,951,6,164,48,58
773.72,63,kobieta,13,860,1,82,48,0
300,74,kobieta,13,1536,2,38,48,3
200,53,kobieta,16,749.28,7,67,48,1
387.15,69,kobieta,16,1401,1,77,48,119
400,65,mężczyzna,16,1473.04,4,167,48,1
200,56,kobieta,98,980,6,12,48,0
300,46,kobieta,12,1038.68,3,23,26,1
300,71,mężczyzna,13,1426,7,79,48,1
342.86,60,kobieta,13,1087,1,73,48,4
200,57,kobieta,99,780,3,3,4,1
750,55,mężczyzna,16,588,0,424,48,11
300,61,kobieta,13,1374,0,48,48,0
249.3,57,kobieta,16,2100,2,41,48,1
500,50,kobieta,17,990,3,74,48,1
500,53,mężczyzna,11,2080,1,320,48,0
300,46,kobieta,98,911,7,100,48,1
472.7,62,kobieta,13,3700,7,29,48,1
200,53,kobieta,12,984.34,6,20,20,4459
400,60,mężczyzna,12,1000,7,14,26,4
400,50,kobieta,12,1000,7,34,34,4
300,63,kobieta,13,1100,4,107,48,1
400,58,kobieta,16,1589,0,29,48,3
300,65,kobieta,13,802.83,1,203,48,1
600,64,kobieta,13,1233,0,126,48,0
300,75,mężczyzna,13,1180,0,143,48,0
200,71,mężczyzna,13,1642.87,1,72,48,1
200,41,kobieta,11,2505,1,167,48,0
200,59,kobieta,16,634,6,54,48,0
215.24,51,mężczyzna,16,1045,6,202,48,0
400,61,kobieta,13,1500,3,63,48,0
397.15,56,kobieta,16,2300,8,66,48,2
200,56,kobieta,16,2300,1,66,48,2
497.15,51,mężczyzna,16,2150,1,84,48,1
741.52,34,kobieta,11,2200,3,40,48,0
200,32,kobieta,12,980,7,13,15,9
600,36,kobieta,11,2400,6,116,48,8
500,63,kobieta,13,1900,1,91,48,4
300,63,kobieta,13,714,0,225,48,0
254.98,58,kobieta,16,634.64,6,139,48,8
300,56,kobieta,11,2800,2,12,48,0
300,57,kobieta,11,1187.06,0,136,48,0
500,43,mężczyzna,98,3014,0,105,48,4
200,69,kobieta,13,803.86,7,161,48,0
200,63,mężczyzna,13,1162,7,224,48,0
252.16,60,kobieta,13,1658,7,32,48,0
800,66,mężczyzna,13,3040,0,204,48,1
400,61,kobieta,13,1107,1,18,48,3
800,56,kobieta,13,3440,7,54,48,0
200,47,kobieta,12,990.34,0,59,48,0
391.97,65,kobieta,13,1507,1,62,48,0
200,61,kobieta,13,1635,7,123,48,3
392.43,45,mężczyzna,12,1963.88,6,9,20,0
250,31,mężczyzna,12,1637,0,55,48,4
276.26,55,mężczyzna,11,2100,4,41,48,0
800,69,kobieta,13,2120,2,122,48,0
300,55,kobieta,16,1500,2,5,48,6
500,44,kobieta,11,1738.57,0,60,48,2
250,60,kobieta,13,1650,1,118,48,0
299.72,63,kobieta,13,714,8,225,48,4
438.67,51,kobieta,11,1577.42,0,208,48,2
500,45,mężczyzna,12,1952.35,0,7,11,3
200,45,mężczyzna,11,2000,0,204,48,0
400,63,kobieta,16,2084.79,1,144,48,2
500,28,kobieta,11,2100,0,26,48,0
530,63,kobieta,13,1691.3,3,76,48,1
400,69,kobieta,13,1017,0,164,48,0
600,40,kobieta,11,1800,0,55,48,9
278.98,39,kobieta,98,1200,7,49,48,0
350,71,kobieta,13,729.03,8,260,48,1
300,69,kobieta,13,1027,3,195,48,0
300,71,kobieta,13,1000,4,67,48,0
300,64,mężczyzna,11,1660,0,53,48,0
300,27,mężczyzna,11,1459,4,12,48,8
500,64,kobieta,13,3251,1,141,48,3
664.48,64,kobieta,13,930,4,97,48,2
460,66,kobieta,13,1013.74,7,116,48,0
200,68,kobieta,13,720.19,5,96,48,2
500,61,kobieta,13,1212,7,57,48,0
200,32,kobieta,12,1865,4,23,34,1
400,71,kobieta,13,1016,0,192,48,0
400,59,kobieta,11,1500,6,88,48,2
600,73,kobieta,13,640,1,142,48,1
584.58,66,kobieta,16,892,1,204,48,0
367.31,62,kobieta,13,1684,6,23,48,4450
400,61,kobieta,16,1411,4,69,48,3
400,57,kobieta,11,1730.13,0,196,48,12
200,62,kobieta,13,997,7,82,48,0
200,62,kobieta,13,975,7,30,48,8
315.12,74,mężczyzna,13,960,7,143,48,1
200,34,mężczyzna,11,1800,7,168,48,1
300,43,kobieta,11,1286.16,0,120,48,4
299.23,64,kobieta,16,1389,2,94,48,1
500,42,kobieta,11,1870,0,113,48,0
700,62,kobieta,13,2066,7,132,48,1
265.58,63,kobieta,13,1189,7,73,48,1
300,72,mężczyzna,13,562,3,84,48,1
237.13,55,kobieta,16,1045.6,8,15,48,1
200,56,mężczyzna,11,1460.17,4,64,48,1
281.84,47,kobieta,12,1032,7,41,48,12
300,41,kobieta,12,1896,1,16,16,5
300,40,kobieta,12,1027,7,12,48,4
200,44,mężczyzna,11,2284.23,2,303,48,1
325.58,53,kobieta,11,2065.98,0,182,48,5
286.26,50,mężczyzna,11,1400,0,17,48,203
497.15,48,mężczyzna,12,600,8,12,27,1
300,55,kobieta,17,864.6,1,5,7,14
700,68,kobieta,13,1431,0,250,48,7
684.58,73,kobieta,13,2534,1,130,48,0
500,62,mężczyzna,16,837,0,234,48,0
300,71,mężczyzna,13,1420,1,56,48,0
500,32,mężczyzna,11,2180.09,0,53,48,278
500,54,mężczyzna,11,1320,7,345,48,0
300,47,kobieta,11,900,7,96,48,4
330.11,65,kobieta,13,840,5,116,48,5
300,36,kobieta,12,1200,7,12,14,3
500,36,mężczyzna,11,1186,0,13,48,35
200,32,mężczyzna,11,2000,1,8,48,0
200,64,mężczyzna,13,1287.66,6,99,48,5
400,47,mężczyzna,99,1400,0,19,19,0
600,56,kobieta,12,1350,1,25,25,17
476.83,62,mężczyzna,11,1250,0,68,48,14
388.49,36,mężczyzna,11,1850,2,58,48,4447
200,43,mężczyzna,12,1500,0,38,48,269
200,70,kobieta,16,959.6,7,118,48,0
400,35,kobieta,11,980.11,4,48,48,241
389.72,55,kobieta,12,1000,1,48,48,2
550,55,kobieta,12,1675,7,12,12,3
282.28,49,mężczyzna,11,1600,1,345,48,3
450,69,kobieta,13,1019,0,136,48,6
500,51,mężczyzna,11,2400,1,255,48,4447
200,42,kobieta,11,1000,0,64,48,11
200,73,kobieta,13,730,6,564,48,0
246.46,66,mężczyzna,13,1559,2,74,48,0
300,44,kobieta,11,1400,1,28,48,0
230.9,79,kobieta,13,1239.98,5,258,48,0
437.15,63,kobieta,13,820,2,34,48,0
300,50,mężczyzna,13,3900,8,33,48,1
276.75,53,kobieta,11,1050,6,37,48,0
600,73,mężczyzna,13,2612,0,85,48,0
207.19,66,kobieta,13,1350,6,114,48,1
300,74,kobieta,13,1412,1,207,48,0
441.54,36,kobieta,98,4000,7,22,48,3
247.28,58,kobieta,13,611,6,142,48,1
300,71,kobieta,13,729.03,1,260,48,1
200,46,kobieta,11,1344.9,6,49,48,4445
202.28,61,mężczyzna,11,3000,8,215,48,1
500,76,kobieta,13,1248,1,253,48,1
500,61,kobieta,13,1000,7,71,48,1
400,64,kobieta,13,917,1,79,48,0
500,48,mężczyzna,13,864.34,2,159,48,0
700,69,kobieta,16,980,1,134,48,6
300,51,mężczyzna,12,1000,5,46,48,0
300,63,mężczyzna,15,1100.79,0,93,48,0
200,22,kobieta,12,700,0,3,5,0
430,39,mężczyzna,11,2470,4,69,48,2
300,67,mężczyzna,13,2110,1,104,48,7
200,57,kobieta,11,1172.2,7,40,48,5
350,55,kobieta,12,1700,8,58,48,0
200,58,mężczyzna,11,1800,1,164,48,2
523.43,33,mężczyzna,11,2050,2,121,48,1
624.85,52,kobieta,11,3200,7,57,48,5
537.15,63,kobieta,13,962,3,68,48,0
437.15,62,kobieta,13,1362,7,59,48,5
600,44,kobieta,11,1443,2,37,48,1
200,21,mężczyzna,17,985,8,16,17,11
235.97,66,mężczyzna,12,1100,7,25,36,0
200,76,kobieta,13,616,7,249,48,1
